total KP 
5116
x,y,time[s]
0.506711,0.450617,0.044244
0.402280,0.246130,0.048280
0.501255,0.289410,0.049110
0.514954,0.278834,0.051778
0.501486,0.266234,0.055988
0.511568,0.293924,0.057666
0.507194,0.285714,0.059626
0.523449,0.307018,0.062520
0.520979,0.288779,0.068642
0.511050,0.577547,0.044999
0.512126,0.311554,0.046083
0.519531,0.279288,0.048915
0.508785,0.582609,0.049248
0.516067,0.572821,0.060115
0.504659,0.570560,0.063979
0.520249,0.277108,0.067146
0.510448,0.578616,0.044619
0.511185,0.279776,0.045031
0.513453,0.300323,0.047290
0.510125,0.307621,0.047401
0.507020,0.263393,0.048427
0.529321,0.274815,0.048900
0.517280,0.304813,0.051627
0.565153,0.315068,0.054983
0.495495,0.272291,0.058258
0.507937,0.575172,0.059316
0.508368,0.304392,0.044550
0.536825,0.258090,0.045384
0.521739,0.301601,0.049031
0.512535,0.263014,0.049958
0.506286,0.598244,0.055182
0.526810,0.278497,0.055502
0.522957,0.258065,0.065404
0.508221,0.299708,0.068512
0.560056,0.547031,0.069911
0.517018,0.306604,0.046107
0.292058,0.320339,0.046524
0.513654,0.283582,0.047304
0.509363,0.305882,0.048012
0.529670,0.288660,0.054748
0.550511,0.269945,0.058788
0.496308,0.266929,0.064456
0.510917,0.299786,0.069686
0.500000,0.303823,0.073111
0.510079,0.285358,0.079121
0.500792,0.278030,0.005326
0.514469,0.273865,0.071485
0.506944,0.299555,0.000759
0.516284,0.296875,0.045529
0.517241,0.273796,0.047956
0.522099,0.297730,0.051813
0.520256,0.268595,0.052294
0.515789,0.298675,0.055007
0.513204,0.284987,0.071228
0.515291,0.295082,0.072139
0.514286,0.279925,0.056294
0.598106,0.313752,0.058540
0.535088,0.303867,0.063677
0.503226,0.267265,0.070878
0.507429,0.286195,0.073179
0.497585,0.267829,0.000552
0.507476,0.305882,0.040460
0.515917,0.278481,0.049535
0.311377,0.211715,0.052725
0.520599,0.286486,0.047940
0.508557,0.297572,0.049110
0.513357,0.283648,0.049262
0.516163,0.268072,0.049548
0.529338,0.290954,0.052363
0.502152,0.580027,0.056857
0.411141,0.408629,0.057348
0.476670,0.181818,0.070620
0.504801,0.264591,0.044743
0.528512,0.301630,0.045618
0.524631,0.298100,0.049888
0.398981,0.275806,0.050292
0.511390,0.316629,0.053632
0.341584,0.639225,0.064884
0.512422,0.315684,0.079100
0.515474,0.274074,0.048161
0.497826,0.291060,0.050063
0.513980,0.287200,0.069874
0.505734,0.262115,0.075537
0.513057,0.281296,0.049955
0.505938,0.280363,0.051254
0.521197,0.268908,0.061358
0.507581,0.294159,0.037358
0.513365,0.296073,0.041880
0.505400,0.303477,0.044698
0.479508,0.300129,0.046456
0.511976,0.284615,0.049262
0.514886,0.291946,0.049288
0.649718,0.800000,0.054533
0.514995,0.266535,0.062213
0.520742,0.279365,0.069964
0.512379,0.265979,0.072918
0.527685,0.277060,0.076983
0.632985,0.639956,0.078898
0.472058,0.418927,0.002983
0.514667,0.292955,0.045993
0.504225,0.296059,0.046744
0.512759,0.284389,0.047131
0.297968,0.680435,0.053398
0.513287,0.292553,0.061613
0.540366,0.298729,0.078146
0.505821,0.295706,0.046461
0.517344,0.281340,0.051189
0.505359,0.271255,0.055386
0.502757,0.286092,0.071171
0.520741,0.298216,0.051706
0.501905,0.265269,0.072702
0.535874,0.298097,0.028567
0.416734,0.412461,0.044846
0.518987,0.299838,0.048273
0.517699,0.309300,0.049415
0.517179,0.270506,0.050647
0.507031,0.304556,0.054526
0.343669,0.301489,0.056768
0.395349,0.319569,0.064013
0.505976,0.279034,0.065450
0.504843,0.301354,0.055166
0.500555,0.276414,0.076004
0.507576,0.273885,0.051746
0.506070,0.271460,0.046171
0.526687,0.286133,0.046475
0.519155,0.290653,0.053505
0.525848,0.283048,0.054191
0.520614,0.294574,0.064937
0.516005,0.274174,0.073597
0.505673,0.311728,0.045093
0.518455,0.298927,0.046035
0.521739,0.276231,0.048861
0.532420,0.239474,0.055846
0.513904,0.284664,0.057963
0.522887,0.284281,0.062924
0.509278,0.303922,0.072174
0.511592,0.230882,0.044396
0.523256,0.259850,0.048534
0.507970,0.300721,0.048764
0.510638,0.283697,0.049120
0.522914,0.311864,0.053487
0.507848,0.266234,0.059010
0.512082,0.280717,0.059143
0.519789,0.264968,0.070497
0.517569,0.278584,0.050087
0.511945,0.298588,0.061401
0.506637,0.303648,0.072172
0.523102,0.286624,0.047089
0.485047,0.257039,0.005840
0.516304,0.282686,0.015684
0.514451,0.290348,0.049079
0.506667,0.273312,0.051178
0.493857,0.294737,0.058038
0.639432,0.235294,0.058603
0.530196,0.267616,0.058872
0.512479,0.272581,0.049713
0.507951,0.267918,0.051038
0.526521,0.308679,0.008168
0.516080,0.291351,0.044467
0.502262,0.310949,0.054629
0.518044,0.269932,0.055100
0.457077,0.587540,0.057373
0.515351,0.292308,0.061976
0.662437,0.491443,0.067122
0.521583,0.288018,0.051847
0.504325,0.291874,0.055061
0.517575,0.281787,0.065134
0.513438,0.279894,0.000561
0.514884,0.283885,0.044702
0.545603,0.271281,0.048944
0.505263,0.281947,0.050512
0.508078,0.318253,0.057511
0.521208,0.307533,0.059397
0.512468,0.273859,0.048551
0.524871,0.270665,0.051219
0.566929,0.504655,0.055467
0.516915,0.288889,0.056124
0.532867,0.295302,0.060030
0.562282,0.444007,0.065331
0.491018,0.283915,0.066059
0.530547,0.285604,0.068751
0.497942,0.263473,0.056738
0.496094,0.244318,0.063550
0.508500,0.294243,0.066003
0.506508,0.280462,0.077940
0.520642,0.298013,0.000217
0.603670,0.301954,0.046780
0.504496,0.286957,0.047262
0.524648,0.284380,0.053402
0.540541,0.667482,0.075627
0.442320,0.450595,0.012527
0.506692,0.825778,0.045904
0.371094,0.268868,0.005162
0.521583,0.287911,0.050054
0.523222,0.292595,0.054046
0.504687,0.266465,0.054259
0.528351,0.297767,0.059398
0.500906,0.278888,0.069278
0.519868,0.296761,0.069359
0.527439,0.281925,0.070507
0.511327,0.323988,0.049118
0.522689,0.286624,0.049201
0.511879,0.297352,0.051250
0.516845,0.291605,0.053695
0.509731,0.277575,0.067393
0.507692,0.278252,0.076644
0.524709,0.283111,0.079452
0.498911,0.289474,0.003284
0.499083,0.274306,0.048407
0.521452,0.297806,0.050958
0.513235,0.289286,0.054983
0.497915,0.266612,0.064324
0.516300,0.279287,0.002736
0.502825,0.305898,0.046523
0.600000,0.337500,0.048015
0.502799,0.273646,0.002936
0.513889,0.303167,0.045761
0.517621,0.300647,0.049224
0.536496,0.282584,0.050721
0.513072,0.298523,0.060969
0.516725,0.306261,0.065983
0.523677,0.283394,0.045544
0.515789,0.251472,0.046282
0.531504,0.312562,0.051526
0.506340,0.296326,0.051672
0.489051,0.837112,0.055022
0.522409,0.311475,0.056001
0.494533,0.313058,0.056008
0.480349,0.808354,0.062294
0.505119,0.296173,0.002837
0.523885,0.285714,0.047712
0.496296,0.312409,0.050040
0.529412,0.284526,0.007452
0.511700,0.275862,0.045711
0.522774,0.311111,0.049201
0.515026,0.271642,0.049737
0.507886,0.280543,0.052110
0.509719,0.284510,0.057527
0.509268,0.303774,0.061007
0.520349,0.275524,0.002877
0.506827,0.297192,0.004001
0.525276,0.258673,0.045728
0.512101,0.294824,0.046603
0.517913,0.272385,0.048023
0.516129,0.295492,0.054286
0.516300,0.301107,0.059021
0.514019,0.275168,0.069509
0.525797,0.275383,0.073261
0.505952,0.280502,0.049152
0.506483,0.303867,0.052524
0.530120,0.306557,0.055255
0.527456,0.282754,0.064133
0.506122,0.400266,0.070380
0.507085,0.273346,0.046048
0.490409,0.293924,0.047117
0.504615,0.308901,0.048552
0.521849,0.284211,0.064065
0.504026,0.269939,0.065513
0.516129,0.277496,0.004818
0.501453,0.290820,0.040319
0.519028,0.302652,0.047452
0.519792,0.271084,0.048757
0.508547,0.272081,0.064548
0.689394,0.748209,0.041863
0.514523,0.264848,0.050039
0.518057,0.269637,0.052666
0.511444,0.284014,0.053072
0.512671,0.278810,0.058059
0.506657,0.303009,0.058378
0.517483,0.302030,0.058741
0.519214,0.255851,0.058748
0.522782,0.314709,0.061984
0.523422,0.271642,0.064277
0.527831,0.291045,0.069622
0.523377,0.312500,0.076480
0.586802,0.574634,0.036081
0.515562,0.292105,0.051793
0.518750,0.315726,0.053970
0.530920,0.271284,0.069277
0.507645,0.295082,0.045298
0.492297,0.306911,0.047958
0.523223,0.276965,0.048184
0.521512,0.293300,0.051995
0.513711,0.270979,0.055556
0.519290,0.285927,0.068347
0.509542,0.311927,0.069552
0.513298,0.273810,0.045000
0.517621,0.289528,0.053492
0.510101,0.295620,0.046952
0.514239,0.300314,0.048023
0.442623,0.365955,0.056664
0.519868,0.277005,0.047445
0.516710,0.284298,0.047883
0.508892,0.308690,0.049487
0.528634,0.306695,0.057644
0.545455,0.306630,0.062530
0.514587,0.270801,0.067568
0.512102,0.294919,0.068705
0.517827,0.291461,0.072451
0.288641,0.606272,0.041480
0.507740,0.274758,0.045365
0.494845,0.264453,0.045452
0.522092,0.300347,0.049318
0.512821,0.289089,0.049341
0.507766,0.306713,0.049451
0.493633,0.302292,0.049578
0.530633,0.298337,0.056476
0.504440,0.272727,0.059551
0.500776,0.298938,0.065408
0.502439,0.265339,0.069431
0.520833,0.293660,0.001425
0.514528,0.273782,0.050907
0.515936,0.277190,0.053987
0.516098,0.286116,0.063744
0.517310,0.264224,0.050647
0.521834,0.300000,0.046156
0.509532,0.271667,0.047079
0.536313,0.311475,0.063098
0.490435,0.297800,0.076805
0.516099,0.298401,0.078448
0.502611,0.260816,0.046614
0.503497,0.293087,0.050019
0.515826,0.270000,0.051464
0.525366,0.280262,0.059239
0.508887,0.299642,0.052053
0.513753,0.275214,0.052694
0.511194,0.280939,0.054944
0.520183,0.289532,0.060360
0.522255,0.308140,0.061659
0.681287,0.619092,0.040885
0.494197,0.292293,0.045526
0.522866,0.271186,0.048940
0.504788,0.295125,0.054776
0.515991,0.304255,0.057831
0.518473,0.264218,0.062317
0.501179,0.308571,0.069938
0.488806,0.288770,0.044263
0.521739,0.304922,0.045918
0.504915,0.291595,0.049598
0.513861,0.277567,0.052531
0.522699,0.277518,0.004757
0.524752,0.336493,0.050811
0.518008,0.309717,0.052822
0.520000,0.311494,0.057883
0.504705,0.280890,0.065494
0.313370,0.459754,0.043753
0.435655,0.717724,0.059451
0.511226,0.298421,0.066417
0.644108,0.588462,0.046073
0.506264,0.286624,0.013968
0.508450,0.288462,0.050814
0.522107,0.285973,0.002319
0.358224,0.333013,0.044824
0.500000,0.268836,0.062216
0.511608,0.290349,0.070177
0.523247,0.279545,0.049086
0.388084,0.548411,0.042667
0.516224,0.286723,0.046580
0.570270,0.628963,0.047995
0.514493,0.284924,0.049109
0.517344,0.276091,0.047559
0.512459,0.294179,0.048595
0.509317,0.269920,0.054480
0.504604,0.281356,0.057364
0.499040,0.275281,0.006401
0.525114,0.276387,0.045753
0.510285,0.270978,0.065386
0.496536,0.254585,0.047581
0.510406,0.267045,0.054743
0.533123,0.260739,0.057208
0.571429,0.289270,0.046656
0.518174,0.234776,0.058808
0.506990,0.291556,0.063971
0.509599,0.288079,0.064168
0.521671,0.298018,0.067394
0.528967,0.292121,0.043624
0.524362,0.273034,0.050391
0.512239,0.287732,0.058934
0.521385,0.265469,0.002412
0.528777,0.297064,0.006854
0.496100,0.297059,0.045722
0.506849,0.300000,0.050306
0.527539,0.292946,0.066870
0.518265,0.312227,0.003078
0.511249,0.272864,0.009829
0.524680,0.277677,0.044623
0.509653,0.277228,0.045735
0.505300,0.290155,0.061035
0.517636,0.292548,0.072575
0.518987,0.303216,0.052798
0.517720,0.268437,0.005769
0.496894,0.281197,0.016532
0.514253,0.284910,0.045454
0.539823,0.302211,0.046872
0.516791,0.312950,0.078666
0.518756,0.307149,0.051001
0.520158,0.277439,0.063210
0.670732,0.409357,0.074957
0.512103,0.293276,0.045247
0.471516,0.255068,0.046625
0.509397,0.274025,0.049985
0.509305,0.310541,0.052964
0.521610,0.298497,0.055322
0.513311,0.304103,0.045176
0.510131,0.293981,0.047087
0.536346,0.299611,0.052109
0.411848,0.531039,0.052515
0.506667,0.297619,0.057996
0.503026,0.291575,0.070260
0.524390,0.282759,0.004007
0.494972,0.272145,0.046524
0.510172,0.301659,0.046290
0.520030,0.301497,0.051047
0.519751,0.269652,0.053074
0.516627,0.276958,0.064730
0.512021,0.298126,0.046252
0.523426,0.273115,0.046293
0.509463,0.276190,0.046648
0.530120,0.287356,0.050547
0.501907,0.296214,0.051002
0.504310,0.304721,0.055279
0.521067,0.308625,0.045873
0.512857,0.310585,0.048709
0.520661,0.285714,0.060370
0.509237,0.278510,0.003967
0.507329,0.269020,0.048153
0.513889,0.304545,0.049056
0.519116,0.283128,0.049509
0.510008,0.305855,0.054495
